title_length,abstract_length,keyword_count,concept_count,paper_age,title_word_count,abstract_word_count,title_to_abstract_ratio,text_richness,recency_score,abstract_keyword_overlap,recent_paper,dom_medical,dom_biology,dom_health,dom_cv_medical,dom_vision,dom_vision2,dom_nlp,dom_llm,dom_generative,dom_education,dom_robotics,dom_math,dom_quantum,dom_survey,dom_review_any,dom_graph,dom_rl,dom_speech,dom_security,dom_xai,dom_science,dom_dataset,cn_medicine,cn_ai_core,cn_vision,pub_plos,pub_mdpi,pub_frontiers,pub_bmc,pub_hindawi,pub_ieee,pub_acm,pub_elsevier,pub_springer,pub_wiley,pub_nature,pub_science,pub_oup,pub_arxiv,pub_zenodo,pub_dagstuhl,pub_acl,pub_no_doi,tf_learning,tf_data,tf_models,tf_chatgpt,tf_deep,tf_model,tf_detection,tf_image,tf_research,tf_machine,tf_intelligence,tf_artificial,tf_generative,tf_methods,tf_review,tf_based,tf_medical,tf_language,tf_applications,tf_analysis,tf_systems,tf_education,tf_neural,tf_human,tf_performance,tf_network,tf_challenges,tf_study,tf_control,tf_technologies,tf_algorithms,tf_time,tf_survey,tf_networks,tf_segmentation,tf_techniques,tf_paper,tf_future,tf_images,tf_information,tf_proposed,tf_potential,tf_classification,tf_design,tf_attention,tf_clinical,tf_development,tf_features,tf_prediction,tf_recent,tf_method,tf_tasks,tf_accuracy,tf_results,tf_healthcare,tf_knowledge,tf_field,tf_provide,tf_technology,tf_article,tf_system,tf_multi,tf_training,tf_approaches,tf_energy,tf_students,tf_materials,tf_transformer,tf_feature,tf_including,tf_quality,tf_datasets,tf_digital,tf_disease,tf_framework,tf_algorithm,tf_processing,tf_studies,tf_vision,tf_text,tf_dataset,tf_approach,tf_computing,tf_comprehensive,tf_tools,tf_protein,tf_graph,tf_scale,tf_current,tf_health,tf_literature,tf_optimization,tf_spatial,tf_sensing,tf_cancer,tf_process,tf_imaging,tf_brain,tf_existing,tf_impact,tf_level,tf_real,tf_application,tf_researchers,tf_management,tf_structure,tf_recognition,tf_overview,tf_finally,tf_drug,tf_improve,tf_single,tf_significant,tf_robots,tf_industry,tf_fusion,tf_strategies,tf_trained,tf_directions,tf_diagnosis,tf_perspective,tf_power,tf_task,tf_advances,tf_domain,tf_decision,tf_resolution,tf_global,tf_discuss,tf_understanding,tf_natural,tf_object,tf_computer,tf_opportunities,tf_soft,tf_modeling,tf_efficient,tf_related,tf_complex,tf_metaverse,tf_developed,tf_generation,tf_propose,tf_evaluation,tf_social,tf_stability,tf_abstract,tf_multiple,tf_cell,tf_efficiency,oa_category
65,769,16,22,3,9,120,0.0845,0.3167,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.025459960311442504,0,0,0,0,0,0,0,0,0,0,0,0.03663813843475789,0.03566138847966476,0,0.012307808088468554,0,0,0,0,0.05393656033040169,0,0,0.029048472818555337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020096354749409604,0,0,0,0,0,0,0.032526743637303464,0,0.032949434082479113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07549459321291954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially_open
53,1047,14,16,2,8,178,0.0506,0.1685,0.6667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009469863286573127,0,0.013282404023138471,0,0.017102728573777738,0.027114573858945494,0,0,0,0,0,0,0.0545104010858593,0,0,0,0,0,0,0,0,0,0,0.021609229779657017,0,0.020317173950274325,0,0,0,0,0,0.020317173950274325,0,0,0,0,0,0,0.1040410887027781,0,0,0,0,0,0,0,0,0.04812881331344989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028578135213589033,0.04902232875685916,0,0,0,0,0,0,0,0,0,0,0,0,0.028899924910823122,0,0,0,0,0.08176560162878893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025806164951846677,0,0,0.0694466406935541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07331177096115836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566533609832089,0,0,partially_open
88,1031,10,14,2,12,159,0.0854,0.1509,0.6667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01491940152180611,0,0.03994292250190854,0.02046966656674256,0,0,0,0,0,0,0,0.01597396368928897,0,0,0,0,0,0,0.017893708566690807,0,0,0,0,0,0.07962628677579262,0,0,0.01772349216938824,0,0.019265343496221585,0,0,0.027160499939590882,0,0,0,0.03456492660093933,0,0,0,0,0,0,0,0,0.016352311179302918,0,0,0.05428739699871034,0,0,0,0,0,0,0,0.06332334133645247,0.024929862633130857,0.021382079564161976,0,0,0,0,0,0,0,0,0.01878820981361146,0,0,0.021146535671851194,0.050421145589095655,0,0,0,0,0.023775813239576924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018572665290847397,0,0,0.021542056982933683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022645018998623485,0,0,0,0,0,0,0,partially_open
118,3084,9,13,3,13,401,0.0383,0.0549,0.3333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.005081245445832516,0,0,0,0.0033792543881328956,0,0,0,0,0,0,0,0,0.007434153531329212,0,0,0,0,0,0.025680533941041674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011883312463179776,0,0,0,0,0,0,0,0,0,0,0,0.006790053304184367,0,0,0,0,0,0.005309194088624433,0,0,0,0,0,0,0.04065379585428031,0,0,0.00960921220711563,0,0,0,0,0,0,0.0288083239587538,0,0.007534208484347231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009083884995417825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008605636905177105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially_open
86,1414,10,17,2,12,203,0.0608,0.133,0.6667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.007395512280942823,0,0,0,0,0,0,0,0,0,0,0,0,0.010358784272664527,0,0.0071502504133007785,0,0,0.01197163833729287,0,0,0,0.03203825914797973,0,0,0.015866745370690428,0,0,0,0,0.03461099575642562,0,0,0.01724706941566504,0,0,0,0,0,0,0.01547191952613475,0,0,0,0,0,0.015593553484987012,0,0,0,0,0,0,0.0116750251401332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022569465168452343,0,0,0,0,0,0.05227032389748761,0,0,0,0,0.09196788071052002,0,0.017512867397732435,0,0,0,0,0,0,0,0,0,0,0.02137443985590543,0.021694214099082614,0.03857054012182412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022985872892393594,partially_open
85,878,15,18,3,10,117,0.0968,0.2821,0.3333,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.009586775178999954,0,0.013446384319720426,0,0,0.02744932168436457,0,0,0,0.018197941671949353,0,0,0,0,0,0,0,0.07599356943136527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020245643455787766,0,0,0,0,0,0,0,0,0.0547261085618023,0.018976756183388573,0,0,0,0.015134291848320812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018525722315086642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2778336931727425,0,0.05685395291343323,0,0,0,0,0,0,0,0,0,0,0,0,0.05624425877539936,0,0,0,0,0.1547624851071185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029322910936159022,0,0,0.07684607629160352,0,0,0,0.029591305832904778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02867639259643907,0,0,partially_open
32,714,13,18,2,4,101,0.0448,0.3069,0.6667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03300476151204105,0,0,0,0,0,0.014131427441283019,0,0,0,0,0,0,0.011375398384796693,0,0,0,0,0.024925228637534113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026495454238903152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030062596392053196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17256437990519502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07691840686409442,0,0,0,0,0,0,0,0,0,0,0.03132595410325094,0,0,0,partially_open
60,1386,13,15,3,8,183,0.0433,0.153,0.3333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01783069423983238,0,0,0,0,0,0,0,0,0.013786955780892916,0,0,0,0,0,0.02045046709542215,0,0,0.05462322176795065,0,0.014843789251187123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012599321728315365,0.014621240160482607,0,0,0,0,0,0.027795747729303478,0,0,0,0,0,0.032949434082479113,0,0,0,0,0,0,0,0.09159534608689471,0.014476161659667846,0,0,0,0.019424539694159804,0,0,0,0,0,0,0,0,0,0,0,0,0.015072549809523817,0,0,0.04371194305592444,0,0,0,0,0,0,0,0,0,0.06639191332445135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510207555706548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019039244264848893,0,0,partially_open
63,582,17,23,4,7,84,0.1082,0.4762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.014806492461307524,0,0,0,0,0,0,0,0,0,0,0,0.019081971028592548,0,0,0,0,0,0,0,0,0,0,0.021596517135330794,0,0,0,0,0,0.03187854872302359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06923794195969983,0,0,0,0,0,0,0,0,0,0,0,0.06541509340571544,0.03480932213816686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08797025469246736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04398512734623368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03627215738271161,0,0,0,partially_open
67,1123,15,23,2,9,165,0.0597,0.2303,0.6667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032695949031536685,0,0,0,0,0,0,0,0.009817623274996622,0.01551613974134629,0,0,0,0.03434754785146659,0,0,0,0,0.026463621587700027,0,0,0,0,0.018652177283493426,0.012957910281198477,0,0,0,0,0,0,0,0,0,0,0,0.013437299970113383,0,0.06735291531811424,0,0.01710054263414893,0,0,0,0,0,0,0.02077138258790995,0,0,0,0.019726891704788266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07287150425739758,0,0,0,0,0,0,0,0,0,0.05397789172902007,0.02769567536806402,0.02352554152126559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018377163550943737,0,0.02397781558319657,0.021315298488376485,0.021476008721332155,0.022274795011067657,0,0,0.02997170808879703,0,0.01909479029658289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02582534718661715,0,0,0,0,0,0,0,0.05046096363084815,0,0.05278215281548042,0,0,0,0,0.02309190197981014,0.022675421977639706,0,0,0,0,0,0,0,0,0,0,0,partially_open
