paper_id,openalex_id,title_short,cluster
1,https://openalex.org/W4385245566,Exploiting Generative AI to Scale up Intelligent Tutoring Systems,2
2,https://openalex.org/W3118608800,Learning Multiple Layers of Features from Tiny Images,3
3,https://openalex.org/W4293584584,A Multi-Modal Distributed Real-Time IoT System for Urban Traffic Control (Invite,3
4,https://openalex.org/W4292779060,"Aion Framework: Dimensional Emergence of AI Consciousness, Observer-Induced Coll",2
5,https://openalex.org/W4294558607,Targeted Branching for the Maximum Independent Set Problem Using Graph Neural Ne,2
6,https://openalex.org/W4327550249,Evolutionary-scale prediction of atomic-level protein structure with a language ,2
7,https://openalex.org/W1524333225,Kaldi Speech Recognition Toolkit,2
8,https://openalex.org/W4385318467,3D Gaussian Splatting for Real-Time Radiance Field Rendering,2
9,https://openalex.org/W4220694746,Software update: The <scp>ORCA</scp> program system—Version 5.0,2
10,https://openalex.org/W2335728318,Reading digits in natural images with unsupervised feature learning,3
11,https://openalex.org/W4394785938,Interactive Tree of Life (iTOL) v6: recent updates to the phylogenetic tree disp,2
12,https://openalex.org/W4360620450,Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on ,1
13,https://openalex.org/W4309674289,Survey of Hallucination in Natural Language Generation,2
14,https://openalex.org/W4221151978,Instant neural graphics primitives with a multiresolution hash encoding,2
15,https://openalex.org/W3185341429,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natu",2
16,https://openalex.org/W4319662928,Performance of ChatGPT on USMLE: Potential for AI-assisted medical education usi,1
17,https://openalex.org/W4384071683,Large language models encode clinical knowledge,2
18,https://openalex.org/W4320002812,Object Detection in 20 Years: A Survey,3
19,https://openalex.org/W4386958277,Revolutionizing healthcare: the role of artificial intelligence in clinical prac,2
20,https://openalex.org/W4205192056,SignalP 6.0 predicts all five types of signal peptides using protein language mo,2
21,https://openalex.org/W4388823657,A Comprehensive Review of YOLO Architectures in Computer Vision: From YOLOv1 to ,2
22,https://openalex.org/W4390352677,Evaluasi Pembelajaran,1
23,https://openalex.org/W4285585446,Metaverse beyond the hype: Multidisciplinary perspectives on emerging challenges,2
24,https://openalex.org/W4394857110,TRIPOD+AI statement: updated guidance for reporting clinical prediction models t,2
25,https://openalex.org/W4288039037,Scientific Machine Learning Through Physics–Informed Neural Networks: Where we a,2
26,https://openalex.org/W3212386989,Attention mechanisms in computer vision: A survey,3
27,https://openalex.org/W3175515048,PVT v2: Improved baselines with pyramid vision transformer,3
28,https://openalex.org/W3101380508,Variational Inference: A Review for Statisticians,2
29,https://openalex.org/W4394578957,"MetaboAnalyst 6.0: towards a unified platform for metabolomics data processing, ",2
30,https://openalex.org/W4319460874,How Does ChatGPT Perform on the United States Medical Licensing Examination (USM,1
31,https://openalex.org/W4383957026,De novo design of protein structure and function with RFdiffusion,2
32,https://openalex.org/W4220838968,Reproducible brain-wide association studies require thousands of individuals,2
