pub_ieee,pub_mdpi,title_to_abstract_ratio,text_richness,title_length,abstract_length,abstract_word_count,title_word_count,concept_count,tf_abstract,keyword_count,tf_data,tf_based,tf_analysis,tf_model,tf_learning,tf_paper,pub_springer,tf_research,tf_artificial,tf_study,tf_machine,pub_elsevier,tf_human,tf_results,tf_intelligence,tf_models,tf_performance,tf_provide,tf_methods,tf_accuracy,pub_nature,tf_applications,tf_detection,tf_future,tf_challenges,tf_time,tf_review,tf_propose,tf_including,tf_proposed,tf_finally,tf_information,tf_techniques,tf_existing,tf_potential,tf_method,tf_deep,cn_medicine,tf_design,tf_real,tf_development,tf_systems,tf_survey,tf_recent,tf_education,tf_approaches,tf_significant,tf_image,paper_age,tf_network,recency_score,tf_approach,tf_datasets,tf_scale,tf_technology,tf_neural,tf_article,tf_field,tf_framework,tf_processing,tf_comprehensive,tf_process,tf_application,tf_tasks,tf_attention,tf_algorithms,tf_prediction,tf_improve,tf_training,oa_category
0,0,0.0845,0.3167,65,769,120,9,22,0,16,0,0.01230780808846855,0,0,0.0254599603114425,0,0,0,0,0,0,0,0.02904847281855533,0.0200963547494096,0,0,0,0,0.03566138847966476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05393656033040169,0,0,0,0,0,0,3,0,0.3333,0,0,0.07549459321291954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03294943408247911,partially_open
0,0,0.0506,0.1685,53,1047,178,8,16,0,14,0,0,0,0.02711457385894549,0.00946986328657312,0,0,0,0,0,0,0,0.02160922977965701,0,0,0.01328240402313847,0,0,0,0,0,0,0,0,0,0.02031717395027432,0,0,0,0,0,0,0,0,0,0,0.01710272857377773,0,0,0,0,0,0,0,0,0,0,0,2,0.02031717395027432,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04902232875685916,partially_open
0,0,0.0854,0.1509,88,1031,159,12,14,0,10,0,0.01597396368928897,0,0,0,0.02716049993959088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05428739699871034,0,0,0.03994292250190854,0,0,0.01772349216938824,0,0.02264501899862348,0,0.03456492660093933,0,0,0,0.01857266529084739,0,0,0.01491940152180611,0,0,0.02154205698293368,0,0,0,0.01635231117930291,0,0,0,0.02046966656674256,2,0,0.6667,0,0.01878820981361146,0,0,0.0178937085666908,0,0,0.02114653567185119,0,0,0,0,0,0,0,0,0,0.02138207956416197,partially_open
0,0,0.0383,0.0549,118,3084,401,13,13,0,9,0,0,0,0,0,0,0,0.00337925438813289,0,0,0,0,0.02568053394104167,0,0,0,0,0.00530919408862443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01188331246317977,0,0,0,0,0.00508124544583251,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3333,0,0,0,0,0,0,0,0.0288083239587538,0.00753420848434723,0,0,0,0.00679005330418436,0,0,0,0,0,partially_open
0,0,0.0608,0.133,86,1414,203,12,17,0,10,0,0.00715025041330077,0,0,0.00739551228094282,0,0,0,0,0,0,0,0,0.0116750251401332,0,0,0,0,0.01035878427266452,0,0,0.01197163833729287,0,0,0,0,0,0,0,0.01547191952613475,0,0,0,0,0,0,0,0,0,0.03857054012182412,0.01559355348498701,0,0,0,0,0,0,0,2,0.01586674537069042,0.6667,0.05227032389748761,0,0,0,0.03203825914797973,0,0,0,0,0,0,0,0,0,0.03461099575642562,0,0,0,partially_open
0,0,0.0968,0.2821,85,878,117,10,18,0,15,0,0,0,0.02744932168436457,0.00958677517899995,0,0,0,0,0,0.01819794167194935,0,0,0.01513429184832081,0,0.01344638431972042,0,0,0,0,0,0,0,0,0,0,0,0,0.01852572231508664,0,0,0.02024564345578776,0,0,0,0,0,1,0,0,0,0,0,0.01897675618338857,0,0,0,0,3,0,0.3333,0,0,0.05685395291343323,0,0,0,0,0,0,0,0,0,0,0,0,0.0547261085618023,0,0,partially_open
0,0,0.0448,0.3069,32,714,101,4,18,0.03132595410325094,13,0,0.01137539838479669,0,0,0,0,0,0.01413142744128301,0,0,0,0,0,0,0,0.03300476151204105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02649545423890315,0,0,0.02492522863753411,0,0,0,0,0,0,2,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,partially_open
0,0,0.0433,0.153,60,1386,183,8,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01783069423983238,0,0,0,0,0,0,0.05462322176795065,0,0,0,0,0,0,0,0,0,0.0146212401604826,0,0,0,0.06639191332445135,0,0,0,0.01259932172831536,0,0,0,0,3,0,0.3333,0,0.01447616165966784,0,0,0.01378695578089291,0,0.02779574772930347,0,0,0,0,0,0,0,0,0,0,0.03294943408247911,partially_open
0,0,0.1082,0.4762,63,582,84,7,23,0.03627215738271161,17,0.01480649246130752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02159651713533079,0,0.01908197102859254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.06541509340571544,0,0,0,0,0,0,0,0,0.03187854872302359,0,0,0,partially_open
0,0,0.0597,0.2303,67,1123,165,9,23,0,15,0,0,0,0,0.03269594903153668,0.01343729997011338,0,0.00981762327499662,0,0,0.01551613974134629,0,0.01865217728349342,0,0,0,0.01295791028119847,0,0.03434754785146659,0,0,0.02646362158770002,0,0,0,0,0,0,0,0.01710054263414893,0.01909479029658289,0,0,0.01837716355094373,0,0,0,0,0,0.02131529848837648,0,0,0,0,0,0,0,0,2,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0.02147600872133215,0.01972689170478826,0,0,0,0,0,partially_open
0,0,0.0661,0.1171,103,1558,222,16,15,0,11,0,0.00517776754066608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01034885177601391,0,0,0,0,0.01204021060234245,0,0,0,0,0,0,0,0,0,0.01060080862658258,0,0,0,0,2,0,0.6667,0,0,0.01587989719306238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fully_open
0,0,0.0947,0.0989,188,1986,263,24,14,0,12,0,0,0,0,0.00488382886477356,0.00802857545384133,0,0.02346350216665859,0,0,0,1,0.02228876530731919,0,0,0,0,0,0,0.01069814532050057,0,0,0,0,0.01694432261593219,0,0,0,0,0,0,0.02062763672853848,0,0,0.00931198138736561,0,0,0,0,0,0,0.01034632132124057,0,0,0.01608476316114991,0,0.01203727737863058,0,3,0,0.3333,0,0.01110749510993382,0,0.02473097932544444,0,0.02345069386242629,0,0,0,0,0,0,0.01178650762235777,0,0,0,0,0.0126409778555423,partially_open
0,0,0.0388,0.1771,54,1391,192,7,20,0,14,0.01520666793323475,0.01352750078192039,0,0,0.01399150972070263,0,0,0.01680494074098521,0,0,0.01327957905790898,0,0,0,0,0.00981222639547166,0.01109010339381851,0.01320123935549859,0.00979884998765563,0,0,0,0,0.01208397293222666,0.01213579863032981,0,0,0,0,0,0,0,0,0,0,0,0.0252688962711671,0,0,0.01824282303059249,0.02950131740402948,0,0.07097984424218799,0.01384790316085112,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.01593711695728437,0,0,0.03376675156675469,0,0,0,0,0,closed
0,0,0.0691,0.1921,71,1027,151,9,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.05811656734613353,0,0,0,0,0,0.09779119798075207,0,0,0,0,0,0,0,0,0,0,0,0,0.02337111022129332,partially_open
0,0,0.0654,0.1529,103,1575,255,14,24,0,15,0.0063937126537464296,0.02275079676959338,0,0.04210975485669565,0.02353117543936352,0,0,0.0070657137206415,0,0,0,0,0,0,0,0.02475357113403078,0,0,0.00823994203507405,0,0,0,0,0,0,0,0.00994730226803256,0,0.0113680568751668,0,0,0.01242346302968794,0,0.03967796675771944,0,0,0,1,0,0,0,0,0.02984379814728359,0,0,0,0,0,4,0,0,0,0,0,0,0,0.02824742669792258,0.01284500463248115,0.01505889661480312,0.03150669002545206,0,0,0,0.0141973841814764,0,0,0.01679096512691661,0,0,partially_open
